Pot,Trt.,Fresh (g),Turgid (g),Dry (g),RWC (%),Soil Temp. (°C),CCI,Leaf Temp. (°C),L:S Temp. Ratio
1,H,0.93,1.21,0.02,76.5%,18.5,38.2,19.6,1.06
1,H,3.68,4.04,0.45,90.0%,18.3,32.5,19.8,1.08
1,H,5.70,7.85,1.02,68.5%,18.7,22.6,18.7,1
1,H,4.13,4.58,0.39,89.3%,18.3,2.5,18.6,1.02
2,H,4.91,5.46,0.27,89.4%,18.4,16.0,19.0,1.03
2,H,5.19,5.66,0.27,91.3%,18.7,14.3,18.7,1
2,H,5.55,6.32,0.34,87.1%,15.0,16.7,19.5,
3,D,1.49,1.65,0.16,89.3%,19.40,18.30,20.0,1.03
3,D,1.65,1.97,0.22,81.7%,19.30,14.90,17.70,0.92
3,D,3.82,4.09,0.18,93.1%,19.0,16.80,21.50,1.13
4,D,12.07,13.77,1.19,86.5%,20.30,14.60,21.10,1.04
4,D,11.23,11.99,1.19,93.0%,19.80,11.50,20.30,1.03
4,D,9.60,10.25,0.66,93.2%,20.20,6.90,21.40,1.06
4,D,9.34,10.82,1.12,84.7%,19.90,30.40,20.50,1.03
4,D,7.03,7.65,0.58,91.2%,18.70,29.50,20.60,1.10